Soil type,Crop,Latitude,Longitude,pH,P,K,S,OC,EC,Fertilizer Name,predictions_pH,predictions_P,predictions_K,predictions_S,predictions_OC
BlackSoil,Cotton,16.16,80.76,8.42,26,225,102.63,0.47,0.93,28-28,7.63418345,19.93831734,202.3949359,62.96277908,0.541743291
BlackSoil,Cotton,16.16,80.76,7.75,8.1,113,268.8,0.45,2.14,10-26-26,7.466709857,19.54340719,162.8082738,36.54413566,0.503534895
BlackSoil,Cotton,16.18,80.77,7.41,30.9,181,109.53,0.55,0.99,Urea,7.521183666,20.04665877,193.8044266,68.46163889,0.558114457
BlackSoil,Cotton,16.17,80.76,7.12,25,153,117.26,0.49,0.87,DAP,7.487806184,18.18610858,168.8545219,55.08365178,0.533299289
BlackSoil,Cotton,16.16,80.77,7.94,28.5,172,79.99,0.51,0.99,20-20,7.506987536,18.47133126,197.350899,64.33887354,0.524737081
BlackSoil,Cotton,16.17,80.76,7.55,36.5,160,121.26,0.42,1.19,Fertilizer Name,7.536144767,17.25784628,189.3861872,61.37955037,0.568377616
BlackSoil,Cotton,16.17,80.78,7.25,45.4,197,121.17,0.7,1.06,Urea,7.507770057,23.54827289,233.382592,95.46249444,0.621380028
BlackSoil,Cotton,16.17,80.77,7.6,15.1,170,71.07,0.41,0.65,DAP,7.530723989,16.31527528,152.8121782,41.53855168,0.482233463
BlackSoil,Cotton,16.15,80.78,7.15,35.4,140,124.95,0.57,1.62,14-35-14,7.439782326,19.43203474,197.3976469,71.33912397,0.563884556
BlackSoil,Cotton,16.16,80.76,8.3,29.2,193,66.52,0.3,0.62,28-28,7.624628163,15.00154658,178.8641645,48.47564848,0.525424894
BlackSoil,Cotton,16.16,80.77,7.65,27.9,169,161.42,0.56,1.35,Urea,7.509822634,21.00668668,200.0155651,66.99302269,0.557543278
BlackSoil,Cotton,16.17,80.76,7.5,11.2,140,99.14,0.52,0.68,17-17-17,7.436638532,18.00493293,160.5751019,46.03238657,0.467261173
BlackSoil,Cotton,16.16,80.76,7.62,9.6,104,60.94,0.34,0.62,20-20,7.419581654,12.74942401,134.5685927,27.00968417,0.427815647
BlackSoil,Cotton,16.17,80.76,7.48,37.6,179,43.17,0.48,0.52,Urea,7.524601097,17.27556974,192.8664582,68.4625135,0.552940062
BlackSoil,Vegetables,16.23,80.81,8.34,22.5,298,11.35,0.67,0.27,28-28,7.669568821,23.94581759,216.7008717,81.09116607,0.532365249
BlackSoil,Vegetables,16.23,80.81,8.22,27,301,18.69,0.56,0.29,14-35-14,7.722528084,22.14181898,205.9177303,74.93708762,0.553769097
BlackSoil,Turmeric,16.24,80.81,8.29,22.8,309,10.55,0.65,0.3,DAP,7.698976218,23.89341595,213.0308795,79.89595668,0.539313245
BlackSoil,Turmeric,16.23,80.81,8.12,41.1,342,28.25,0.7,0.51,17-17-17,7.761735254,26.20116752,245.0222158,102.1345726,0.625904737
BlackSoil,Vegetables,16.23,80.82,8.21,10.9,202,14.99,0.25,0.4,Urea,7.633719003,13.23750529,137.805015,27.24836831,0.45118408
BlackSoil,Turmeric,16.23,80.81,7.98,29,341,18.12,0.48,0.55,28-28,7.833548796,21.85807102,191.5551383,70.5326847,0.58402105
BlackSoil,Cotton,16.49,80.19,8.34,17.5,193,17.47,0.37,0.36,DAP,7.574499267,15.25189869,168.2589596,44.23392731,0.467256978
BlackSoil,Cotton,16.48,80.18,7.76,10.6,215,42.35,0.6,0.94,17-17-17,7.535338396,20.64298856,174.3652904,57.44009971,0.475220738
BlackSoil,Vegetables,16.48,80.19,7.76,27.3,265,60.41,0.56,1.15,Urea,7.665515394,21.8466872,196.2291612,71.5930387,0.561704134
BlackSoil,Vegetables,16.48,80.19,8.25,12.9,166,5.8,0.54,0.14,28-28,7.449333198,17.29532853,181.0783454,53.69766406,0.43616936
BlackSoil,Vegetables,16.48,80.19,7.62,30.6,308,14.85,0.55,1.36,Urea,7.740918004,22.00273724,193.5907003,75.2598527,0.578816016
BlackSoil,Cotton,16.48,80.19,8.2,17.9,238,28.67,0.66,0.36,DAP,7.557473665,22.24262415,205.274432,72.46165286,0.497217454
BlackSoil,Cotton,16.48,80.18,7.63,31.7,364,32.64,0.52,2.1,20-20,7.870562525,23.57416615,192.5321445,76.34257169,0.616131408
BlackSoil,Vegetables,16.49,80.19,8.36,22,229,7.68,0.63,0.18,17-17-17,7.545991226,20.98059086,210.7911916,73.7136434,0.495540418
BlackSoil,Cotton,16.49,80.19,7.86,18.1,210,24.81,0.57,0.85,DAP,7.534876507,19.5705509,183.7908535,61.76496159,0.489189922
BlackSoil,Vegetables,16.49,80.17,7.34,39.3,422,34.66,0.82,1.59,Urea,7.876358972,30.93566803,237.6074127,112.1112622,0.67559786
BlackSoil,Vegetables,16.49,80.19,8.06,15.6,284,14.24,0.61,0.44,20-20,7.661822681,22.4189619,190.1707056,67.52268929,0.508987897
BlackSoil,Cotton,16.47,80.19,7.97,14.3,161,32.74,0.4,0.7,28-28,7.502912107,15.08309341,158.0854081,40.95073405,0.453813488
BlackSoil,Vegetables,16.49,80.19,7.9,21.5,162,24.98,0.46,0.59,14-35-14,7.483268162,16.0484245,175.2362859,52.74624826,0.476559996
BlackSoil,Cotton,16.49,80.21,8.36,12.7,229,34.23,0.54,0.55,Urea,7.584431152,19.88336752,185.4176406,57.04654713,0.474729141
BlackSoil,Cotton,16.5,80.2,7.84,17.9,119,36.29,0.74,0.87,DAP,7.292799404,20.12775704,206.7876055,72.40867256,0.449195608
BlackSoil,Cotton,16.49,80.2,7.82,25.8,251,28.36,0.37,0.71,20-20,7.698235885,17.21405983,167.7313966,52.59480997,0.5366872
BlackSoil,Vegetables,16.49,80.2,7.79,19.6,161,22.3,0.46,0.8,28-28,7.479307027,15.94339291,169.0841999,50.51110623,0.470799939
BlackSoil,Cotton,16.49,80.21,7.96,20.3,263,40.21,0.53,1.17,DAP,7.662143334,20.82556116,185.4209362,63.16820633,0.526124427
BlackSoil,Vegetables,16.48,80.2,8.18,11,201,9.65,0.5,0.19,Urea,7.53453163,17.71672324,170.9407973,49.77249076,0.44956671
BlackSoil,Vegetables,16.49,80.2,8.04,23.8,329,13.98,0.61,0.3,14-35-14,7.755773763,23.81180283,202.510437,77.16977055,0.558265543
BlackSoil,Cotton,16.49,80.21,8.02,15.2,191,13.21,0.86,0.33,28-28,7.380792987,24.12402371,222.4960056,85.03703082,0.462993431
BlackSoil,Vegetables,16.47,80.19,8.12,17.3,549,52.03,0.54,0.94,Urea,8.229857964,30.19477355,187.1242127,75.98839803,0.656118254
BlackSoil,Vegetables,16.47,80.19,8.08,12.4,129,31.74,0.49,0.57,14-35-14,7.403504577,15.74808189,170.3244334,46.219218,0.429590004
BlackSoil,Cotton,16.47,80.2,8,27.4,280,55.28,0.83,0.64,DAP,7.590605344,27.23933366,239.4877389,97.79812219,0.562888424
BlackSoil,Vegetables,16.49,80.2,8.17,30.5,224,20.09,0.52,0.36,17-17-17,7.58698408,19.02572768,204.6812864,70.55409562,0.529572964
BlackSoil,Vegetables,16.49,80.2,8,16.8,186,26.82,0.58,0.63,DAP,7.483288272,19.0723103,187.0539043,60.86420043,0.471413244
BlackSoil,Cotton,16.47,80.2,7.78,46.5,306,21.22,0.62,0.71,20-20,7.721159152,23.39715218,232.9008727,96.71932906,0.63006472
BlackSoil,Cotton,16.48,80.2,7.98,29.3,341,11.87,0.62,0.42,14-35-14,7.778122665,24.31648095,210.7656266,83.46517003,0.58264871
BlackSoil,Vegetables,16.48,80.2,8.06,26.6,188,38.19,0.57,0.43,28-28,7.500401932,19.2021968,203.4075004,69.28887357,0.508104433
BlackSoil,Vegetables,16.46,80.17,7.96,13.6,193,11.15,0.55,0.29,Urea,7.501479475,18.39278349,175.9250433,55.39877001,0.458986169
BlackSoil,Vegetables,16.46,80.17,8.04,18.5,210,24.87,0.58,0.3,DAP,7.531300735,19.78387893,190.7093248,63.76146532,0.487191531
BlackSoil,Vegetables,16.46,80.16,8.18,31.2,237,19.38,0.66,0.38,14-35-14,7.559564353,22.00928031,225.1153706,84.53118391,0.537734738
BlackSoil,Vegetables,16.46,80.17,8.12,8.7,122,40.53,0.53,0.43,20-20,7.375326605,16.46524683,171.5629376,46.25984704,0.416505624
BlackSoil,Cotton,16.47,80.17,7.98,16.9,224,11.02,0.6,0.36,28-28,7.545848781,20.28426105,188.4780235,64.54667933,0.484526023
BlackSoil,Cotton,16.46,80.17,8.14,6.1,128,23.86,0.41,0.32,Urea,7.425855623,14.0755234,150.6817731,33.40071738,0.404090937
BlackSoil,Cotton,16.47,80.17,8.4,21.6,156,65.28,0.69,0.63,14-35-14,7.397577535,21.05940448,222.7772076,75.35327256,0.479954911
BlackSoil,Cotton,16.46,80.17,8.25,37.8,146,59.09,0.56,0.48,28-28,7.434034901,18.18559102,226.070023,77.36428783,0.529335205
BlackSoil,Cotton,16.47,80.16,8.25,1.8,190,528.1,0.22,4.21,20-20,7.794080058,23.31746344,150.204171,15.76213543,0.608846077
BlackSoil,Cotton,16.46,80.17,8.26,21.9,240,24.79,0.48,0.49,Urea,7.630993791,18.89752912,188.4259287,60.19678699,0.508877158
BlackSoil,Cotton,16.75,80.38,8.25,11.5,245,15.53,0.46,0.27,DAP,7.639658762,18.48282679,168.5245965,49.05424322,0.473452159
BlackSoil,Vegetables,16.7,80.38,8.23,20.6,150,59.48,0.54,0.63,17-17-17,7.440321666,17.94519002,195.75526,59.89523421,0.47469605
BlackSoil,Vegetables,16.69,80.39,8.35,9.9,228,12.11,0.37,0.25,28-28,7.638113938,16.22842967,156.2643655,39.01936418,0.456755
BlackSoil,Vegetables,16.68,80.38,8.18,15.1,252,23.3,0.42,0.38,Urea,7.673519634,18.11629937,167.2675848,48.80097152,0.493037501
BlackSoil,Cotton,16.69,80.39,8.21,8,123,21.84,0.27,0.34,20-20,7.469674754,11.29450733,136.3675959,22.52313095,0.405909766
BlackSoil,Vegetables,16.7,80.39,8.28,4.1,107,26.17,0.32,0.36,17-17-17,7.418117441,11.82540284,139.2176708,22.96404761,0.385556559
BlackSoil,Cotton,16.71,80.37,8.23,10.5,218,20.58,0.47,0.35,DAP,7.583319098,17.93246757,168.0611968,47.63665398,0.459347765
BlackSoil,Vegetables,16.71,80.37,8.5,8,238,32.12,0.35,0.38,Urea,7.671534472,16.62099155,155.8062997,36.56334532,0.4600801
BlackSoil,Cotton,16.71,80.38,8.48,4,116,17.42,0.18,0.31,20-20,7.486364237,9.355463387,124.9212975,11.46241846,0.382544945
BlackSoil,Cotton,16.7,80.39,8.16,12.1,187,24.52,0.3,0.49,28-28,7.588752194,13.89314114,145.6995209,31.93251708,0.452447368
BlackSoil,Vegetables,16.71,80.38,8.21,10.8,275,22.13,0.47,0.44,10-26-26,7.697439184,19.73782955,168.0761582,50.62598153,0.488896297
BlackSoil,Cotton,16.68,80.4,8.25,24.1,245,14.97,0.42,0.24,Urea,7.661644238,17.73012207,182.8593119,56.99498053,0.515065671
BlackSoil,Vegetables,16.69,80.37,8.2,13.3,286,28.08,0.42,0.42,DAP,7.741841025,19.28062458,165.2591678,48.89762488,0.504960632
BlackSoil,Vegetables,16.7,80.37,8.51,8,286,27.77,0.38,0.38,20-20,7.754089219,18.5795525,159.9207336,41.66942537,0.481482224
BlackSoil,Vegetables,16.69,80.38,8.16,7.1,160,37.43,0.32,0.45,14-35-14,7.529124523,13.69949233,141.3089897,27.83071001,0.427671107
BlackSoil,Vegetables,16.72,80.38,8.26,27.2,297,21.4,0.55,0.31,10-26-26,7.719433725,21.89616017,206.1186622,74.18154162,0.552779269
BlackSoil,Vegetables,16.24,80.38,8.4,6.8,137,19.68,0.36,0.21,20-20,7.461780106,13.37910557,151.8280567,31.01155826,0.404350235
BlackSoil,Vegetables,16.69,80.39,8.31,17.3,151,38.21,0.36,0.31,28-28,7.501820235,14.19902393,166.9608778,40.96616243,0.454677955
BlackSoil,Vegetables,16.69,80.4,8.1,20.1,291,166.5,0.45,3.1,Urea,7.792034097,22.94523319,185.3333539,57.68916936,0.584263
BlackSoil,Cotton,16.7,80.39,8.36,11.8,158,21.06,0.29,0.36,28-28,7.533500709,12.76049745,149.13096,30.13748285,0.432380779
BlackSoil,Vegetables,16.72,80.36,8.13,16.2,219,15.78,0.51,0.27,Urea,7.571509694,18.58644749,179.4745934,56.12721383,0.478794752
BlackSoil,Cotton,16.71,80.38,8.56,20.8,223,270.07,0.5,1.18,DAP,7.673917069,24.04306306,211.8311597,61.3716878,0.584353758
BlackSoil,Cotton,16.7,80.39,8.05,9.3,165,29.27,0.33,0.52,14-35-14,7.533637509,13.84897426,142.6546554,30.5544964,0.436349126
BlackSoil,Vegetables,16.71,80.38,8.12,12.5,221,32.88,0.48,0.51,28-28,7.590831799,18.45841264,170.2771041,50.07893198,0.474146208
BlackSoil,Cotton,16.72,80.36,8.48,24.1,212,36.49,0.54,0.31,20-20,7.557644234,19.42032452,206.7657901,67.15313288,0.502965591
BlackSoil,Cotton,16.72,80.34,8.23,13,172,19.76,0.44,0.28,10-26-26,7.504324673,15.92681742,167.8541721,44.96202063,0.445067558
BlackSoil,Vegetables,16.71,80.35,8.17,11.4,198,35.76,0.46,0.52,DAP,7.553092834,17.44101504,167.3515954,46.33560752,0.459521637
BlackSoil,Cotton,16.72,80.38,8.3,7.7,183,11.98,0.38,0.19,14-35-14,7.543504566,15.00195109,152.792711,35.49761861,0.42854894
BlackSoil,Cotton,16.69,80.39,8.05,8.3,154,162.59,0.38,1.51,Urea,7.538313784,17.2912158,155.6239323,33.61839336,0.478220956
BlackSoil,Vegetables,16.72,80.38,8.24,7.6,159,12.84,0.36,0.23,DAP,7.503624728,13.89367505,148.3161017,32.17912264,0.418040944
BlackSoil,Vegetables,16.71,80.37,8.15,7.6,190,22.05,0.42,0.31,20-20,7.545602999,16.15419617,154.5747232,38.76089129,0.438212037
BlackSoil,Vegetables,16.71,80.38,8.21,12,252,27.93,0.44,0.34,28-28,7.665790332,18.59041176,166.2071461,47.88666229,0.483943252
BlackSoil,Vegetables,16.72,80.36,8.28,11.1,155,20.91,0.36,0.33,14-35-14,7.500382547,13.94813097,155.3838771,35.35453365,0.430036426
BlackSoil,Vegetables,16.72,80.36,8.12,12.6,210,113.43,0.37,1.46,10-26-26,7.638885224,17.80626149,160.0919033,39.68627931,0.499674381
BlackSoil,Vegetables,16.47,80.19,8.65,2,152,17.88,0.25,0.34,Urea,7.530346018,11.80804179,135.9993503,18.4069434,0.390344695
BlackSoil,Vegetables,16.49,80.15,8.24,17.7,193,16.19,0.48,0.18,10-26-26,7.532188549,17.24643782,180.7729174,53.95934239,0.469296387
BlackSoil,Cotton,16.5,80.17,8.02,12.6,161,23.23,0.44,0.44,DAP,7.483419686,15.62731854,161.6842311,43.20934954,0.443636642
BlackSoil,Vegetables,16.5,80.17,8.58,12.4,98,6.87,0.23,0.13,14-35-14,7.432422146,9.50946307,147.082244,23.20813646,0.395857062
BlackSoil,Vegetables,16.5,80.17,8.4,6.4,189,9.03,0.37,0.18,10-26-26,7.557523836,14.95529668,151.9462461,34.09837561,0.424159844
BlackSoil,Vegetables,16.5,80.17,7.97,9.9,152,21.68,0.49,0.6,Urea,7.444412205,16.23220657,162.8009244,44.61048302,0.430660106
BlackSoil,Vegetables,16.5,80.17,8.3,3.8,104,12.62,0.37,0.17,14-35-14,7.388208095,12.37026286,145.3293301,27.14286804,0.377602092
BlackSoil,Vegetables,16.5,80.17,8.18,8.6,162,26.78,0.47,0.29,28-28,7.472995949,16.31399171,164.063829,42.94664197,0.429211042
BlackSoil,Vegetables,16.5,80.17,8.3,9.6,162,7.52,0.53,0.16,10-26-26,7.443974945,17.02993263,175.9885681,49.77211533,0.423000109
BlackSoil,Cotton,16.49,80.15,8.16,13.2,194,9.36,0.63,0.16,Urea,7.472100821,19.89678533,191.5747155,63.11979085,0.453743182
BlackSoil,Vegetables,16.49,80.17,8.06,10.7,117,37.22,0.49,0.48,DAP,7.38059276,15.48890355,167.4202631,43.99093903,0.420586277
BlackSoil,Cotton,16.49,80.17,8.17,16.5,214,36.62,0.75,0.42,20-20,7.477359951,23.32777914,214.9907648,78.01670982,0.484522429
BlackSoil,Vegetables,16.5,80.15,8.03,25.2,252,32.67,0.74,0.39,Urea,7.560194432,24.22040968,223.2582721,86.39141701,0.532905616
BlackSoil,Cotton,16.5,80.18,7.95,18.9,237,40.16,0.55,0.44,DAP,7.601990778,20.38364557,185.6705545,62.37715619,0.50905783
BlackSoil,Vegetables,16.5,80.17,7.85,25.7,141,45.59,0.37,0.72,14-35-14,7.485273337,14.16237219,169.3921356,47.23058826,0.489075558
BlackSoil,Cotton,16.51,80.17,7.23,43.1,224,119.43,0.39,1.42,28-28,7.677928152,18.60842182,186.8224352,66.56917468,0.626528472
BlackSoil,Vegetables,16.5,80.17,8.3,15.3,248,13.46,0.5,0.28,Urea,7.631732093,19.2800233,181.2078123,56.50472362,0.485803935
BlackSoil,Cotton,16.5,80.18,8.12,14.3,233,14.96,0.45,0.33,17-17-17,7.6209365,17.89231828,167.9783983,49.60603906,0.479140341
BlackSoil,Cotton,16.5,80.18,7.99,18.6,263,27.26,0.54,0.45,20-20,7.652907275,20.73751109,184.18077,62.6339268,0.515016232
BlackSoil,Vegetables,16.5,80.18,8,23,185,37.67,1.23,0.44,Urea,7.240414721,31.31014716,286.1177498,125.2681127,0.495621231
BlackSoil,Cotton,16.48,80.18,8.37,22.5,685,32.23,0.56,0.44,28-28,8.488831561,34.41319014,203.7228445,90.24207723,0.727062508
BlackSoil,Cotton,16.48,80.17,8.75,6.1,215,10.18,0.34,0.28,14-35-14,7.620940618,15.28637636,157.0171441,33.79646015,0.429674342
BlackSoil,Cotton,16.48,80.17,8.49,7,191,7.65,0.38,0.2,DAP,7.557538484,15.18659594,156.6353284,36.01362911,0.424922369
BlackSoil,Vegetables,16.49,80.15,9.32,7.5,127,89.42,0.46,1.22,17-17-17,7.428269248,16.55226139,195.7649662,43.9124486,0.411141444
BlackSoil,Cotton,16.49,80.15,8.5,3.8,162,10.34,0.4,0.25,Urea,7.491378027,14.71299585,154.7583857,33.50508259,0.401094506
BlackSoil,Vegetables,16.5,80.16,8.51,13.7,214,32.1,0.52,0.41,28-28,7.562027196,19.02259904,188.2401272,56.02472194,0.467189403
BlackSoil,Cotton,16.5,80.16,8.1,18.9,261,19.24,0.68,0.3,DAP,7.592888274,23.11209929,206.2962322,75.91172163,0.509958469
BlackSoil,Vegetables,16.48,80.17,7.85,23.7,286,21.41,0.68,0.71,17-17-17,7.646019395,23.8998738,207.1388787,80.53254547,0.543467902
BlackSoil,Vegetables,16.49,80.16,8.15,17.2,250,10.74,0.5,0.19,Urea,7.635812008,19.2615902,179.9385722,57.74092737,0.494839305
BlackSoil,Cotton,16.49,80.16,8.16,28.8,183,12.73,0.42,0.28,28-28,7.540080204,15.73783335,187.6637404,57.90328204,0.501479296
BlackSoil,Cotton,16.49,80.16,8.01,31.8,167,46.55,0.64,0.53,Urea,7.437654066,20.01623742,220.2563466,79.15594875,0.519297842
BlackSoil,Cotton,16.68,80.33,8.02,11.8,238,18.58,0.4,0.33,DAP,7.649848148,17.18486115,154.6989709,42.63458127,0.476494223
BlackSoil,Cotton,16.67,80.37,7.91,33.7,197,50.77,0.89,0.55,20-20,7.404450647,25.65542323,254.8639918,104.5689051,0.543587182
BlackSoil,Cotton,16.67,80.33,8.32,13.7,171,78.95,0.56,0.46,17-17-17,7.477434393,19.4004771,191.2159133,56.766938,0.467660364
BlackSoil,Cotton,16.64,80.33,7.88,25.5,285,45.66,0.56,0.61,DAP,7.699212796,22.17114252,195.823763,71.40632215,0.557589335
BlackSoil,Cotton,16.67,80.36,8.13,11.3,233,11.57,0.43,0.27,Urea,7.625747632,17.45076719,160.606745,45.08646393,0.467711282
BlackSoil,Cotton,16.66,80.33,8.07,8.1,222,61.94,0.42,0.47,20-20,7.623372154,17.99421525,155.4843258,40.46604916,0.471965896
BlackSoil,Cotton,16.66,80.31,8.36,10.1,182,78.72,0.49,0.65,28-28,7.523979329,18.44786234,177.0818843,47.83681551,0.460203825
BlackSoil,Cotton,16.69,80.32,8.3,18.5,322,38.8,0.56,0.41,14-35-14,7.766616626,23.2389897,195.8960207,68.49272696,0.541850765
BlackSoil,Cotton,16.67,80.34,8.25,15.7,293,259.67,0.52,1.17,Urea,7.799168203,26.32407827,197.4576941,60.68466985,0.603137703
BlackSoil,Cotton,16.66,80.36,8.23,15.5,197,38.54,0.44,0.35,DAP,7.561948611,17.10809537,172.8752076,48.48087551,0.472584557
BlackSoil,Vegetables,16.68,80.32,8.12,29.8,237,51.96,0.59,0.37,20-20,7.59679709,21.40275749,213.608823,76.67656315,0.54654865
BlackSoil,Vegetables,16.69,80.32,8.03,15.3,205,25.31,0.54,0.38,28-28,7.535012335,18.89541444,179.9693589,56.92448756,0.47450144
BlackSoil,Vegetables,16.67,80.36,8.16,5.4,194,26.06,0.38,0.4,DAP,7.569008536,15.62555296,146.1616904,33.36303744,0.434178886
BlackSoil,Vegetables,16.69,80.34,8.01,47.1,262,36.08,0.78,0.29,Urea,7.578028738,25.34266762,262.8229336,110.5048543,0.61210778
BlackSoil,Cotton,16.46,80.18,8.16,12.2,141,11.75,0.43,0.29,14-35-14,7.44324268,14.59401717,162.8534213,41.52203277,0.42567238
BlackSoil,Cotton,16.46,80.18,7.91,22.9,230,29.22,0.48,0.7,28-28,7.613179575,18.62886204,180.6865945,59.21297949,0.515546109
BlackSoil,Vegetables,16.46,80.18,8.04,20.9,193,26.24,0.46,0.31,Urea,7.545059125,17.06175105,178.1929407,54.28016401,0.487447867
BlackSoil,Vegetables,16.46,80.18,7.79,53.9,238,30.37,0.47,0.51,14-35-14,7.650325955,18.69957532,224.8823451,86.65162358,0.624991716
BlackSoil,Cotton,16.45,80.18,8.07,48.2,305,11.7,0.59,0.32,DAP,7.728252089,22.6496258,238.8601196,96.68619796,0.626221057
BlackSoil,Vegetables,16.45,80.18,8.18,27.9,212,12.3,0.53,0.29,17-17-17,7.555164386,18.67163713,201.7771105,68.52532209,0.511995391
BlackSoil,Vegetables,16.45,80.18,8.27,17.9,249,15.93,0.46,0.26,DAP,7.651268998,18.61895876,179.1641211,55.20126032,0.496412791
BlackSoil,Vegetables,16.45,80.18,8.05,13.9,214,17.83,0.46,0.31,20-20,7.580089163,17.53688568,166.9657295,48.92950457,0.471004618
BlackSoil,Vegetables,16.45,80.18,8.16,12.8,175,26.52,0.48,0.3,14-35-14,7.497262175,16.89545433,171.4744122,48.259898,0.44971973
BlackSoil,Vegetables,16.45,80.18,8.32,13.1,154,11.61,0.33,0.19,28-28,7.507716356,13.16800649,154.9926903,34.58890907,0.431923261
BlackSoil,Cotton,16.46,80.18,8.04,29.6,176,124.36,0.7,0.92,Urea,7.458418242,23.08061031,230.3073323,83.12480326,0.545276645
BlackSoil,Cotton,16.46,80.18,8.05,15.3,170,21.2,0.5,0.29,DAP,7.479209772,16.9795891,174.82088,51.67263701,0.455628781
BlackSoil,Vegetables,16.46,80.18,7.98,25.9,173,33.2,0.45,0.59,14-35-14,7.514234927,16.39402747,183.4580904,56.73976553,0.498117045
BlackSoil,Cotton,16.46,80.18,8.16,14.3,138,17.43,0.48,0.29,20-20,7.421313401,15.54826325,173.3080259,47.82159509,0.433343265
BlackSoil,Cotton,16.46,80.18,8,16.2,151,37.36,0.51,0.51,28-28,7.44368068,16.91213475,177.1700756,52.26911613,0.456472026
BlackSoil,Vegetables,16.45,80.21,8.12,23.7,129,36.85,0.58,0.41,Urea,7.37713199,17.5301981,201.7718951,64.88200276,0.468292382
BlackSoil,Cotton,16.45,80.2,8.12,31.8,147,15.3,0.53,0.37,14-35-14,7.429007484,16.70276697,206.446536,68.67366494,0.495728475
BlackSoil,Vegetables,16.45,80.21,8.05,44,271,51.76,0.9,0.57,28-28,7.553875363,28.18725101,276.3190198,119.1130712,0.611371272
BlackSoil,Cotton,16.45,80.21,7.8,60.9,357,192.8,0.97,1.17,20-20,7.756428462,35.14887287,313.7920971,144.1519463,0.767195593
BlackSoil,Cotton,16.45,80.21,8.14,35.3,196,25.94,0.59,0.31,Urea,7.509218436,19.57093288,221.3022374,79.79167383,0.534726758
BlackSoil,Cotton,16.46,80.21,7.97,42.7,652,79.19,0.82,0.95,DAP,8.351307062,39.14733234,262.7604213,129.0463057,0.803377056
BlackSoil,Cotton,16.46,80.22,7.67,47.3,278,65.33,0.64,1.56,17-17-17,7.673535162,23.82500018,236.4352931,97.44506031,0.63792604
BlackSoil,Cotton,16.46,80.2,8.23,16.9,210,25.95,0.49,0.28,28-28,7.565141628,18.16883267,181.170372,54.92287316,0.478754576
BlackSoil,Cotton,16.46,80.21,7.56,62,368,145.61,0.58,5.45,Urea,7.911396807,27.22187834,253.0197079,109.4732202,0.762756509
BlackSoil,Vegetables,16.46,80.21,7.93,15.7,186,87.95,0.69,1.95,20-20,7.461888179,22.40965781,201.9571036,69.51813447,0.492226952
BlackSoil,Cotton,16.46,80.21,7.7,37.3,258,83.65,0.55,2.94,17-17-17,7.668943421,21.93292404,210.3039779,79.27620025,0.601432677
BlackSoil,Vegetables,16.46,80.21,7.82,36.7,228,118.54,0.49,2.22,DAP,7.643905616,20.65371086,206.475554,72.31404348,0.595905774
BlackSoil,Vegetables,16.46,80.21,8.17,19.9,331,36.68,0.52,0.74,Urea,7.799822952,22.71370818,188.9643922,66.07776965,0.552470276
BlackSoil,Vegetables,16.46,80.21,8,28.6,332,112.59,0.72,1.09,20-20,7.756567341,28.0507824,229.6873261,91.50338152,0.61375999
BlackSoil,Vegetables,16.46,80.21,7.5,48.3,322,495.63,1.15,5.29,28-28,7.71610671,43.84118399,327.8611808,145.9432419,0.828753666
BlackSoil,Cotton,16.46,80.21,8.2,33.6,455,16.4,0.67,0.36,10-26-26,7.989808502,28.92254852,230.6299987,98.40601996,0.649732427
BlackSoil,Cotton,16.47,80.2,7.64,48.6,319,140.81,0.73,2.9,Urea,7.747638118,28.38252666,254.3106289,108.6636614,0.691247498
BlackSoil,Vegetables,16.47,80.2,8.24,17.4,411,56.6,0.61,0.68,DAP,7.930191768,27.30927117,200.3773232,76.1261691,0.589144455
BlackSoil,Cotton,16.47,80.2,7.64,44.2,367,188.65,0.66,2.9,20-20,7.884021965,29.60702609,240.6081901,100.6526776,0.718005211
BlackSoil,Vegetables,16.47,80.21,7.41,64,629,175.76,0.56,4.04,14-35-14,8.449909964,35.60381223,251.0827944,121.6920072,0.909958552
BlackSoil,Vegetables,16.47,80.21,7.69,43.9,487,40.56,0.63,2.21,10-26-26,8.082770264,29.62037165,228.8338224,103.7504877,0.718057338
BlackSoil,Vegetables,16.47,80.2,7.95,17.9,690,95.45,0.69,0.86,20-20,8.468551547,38.26917311,206.3996772,96.32831741,0.745982153
BlackSoil,Cotton,16.74,80.39,8.13,15.5,288,22.72,0.5,0.32,28-28,7.714642154,20.69891192,177.4108411,57.96420208,0.512503117
BlackSoil,Cotton,16.7,80.41,8.28,8.8,178,34.71,0.47,0.39,Urea,7.507690075,16.99724644,167.5718319,44.31765053,0.438764666
BlackSoil,Vegetables,16.71,80.41,8.21,14.9,240,29.73,0.49,0.47,28-28,7.625047584,19.18117414,177.6957385,54.47872992,0.488442732
BlackSoil,Cotton,16.72,80.41,7.8,11.3,241,30.72,0.53,0.83,Urea,7.610140286,19.91304418,166.3365201,53.18953755,0.484979856
BlackSoil,Vegetables,16.71,80.4,8.23,6.3,200,9.37,0.43,0.19,DAP,7.556577982,16.39082179,155.3465771,39.28534756,0.432444615
BlackSoil,Cotton,16.75,80.39,8.1,33.2,138,36.03,0.54,0.53,14-35-14,7.4152342,17.04921296,210.6673026,70.33998995,0.504245861
